symbol,name,price,price_change,volume,market_cap,total_value,percentage_change,chart_link
idi,CTCP Đầu tư và Phát triển Đa Quốc Gia - IDI,7.55,0.19,"965,900","1,590,866","273,172,668","2,011",https://www.cophieu68.vn/chart/chart.php?id=idi
ckg,CTCP Tập đoàn Tư vấn Đầu tư và Xây dựng Kiên Giang,20.80,0.15,"16,200","157,490","95,259,361","1,967",https://www.cophieu68.vn/chart/chart.php?id=ckg
apg,CTCP Chứng khoán APG,8.59,0.13,"283,300","276,026","223,621,942","1,892",https://www.cophieu68.vn/chart/chart.php?id=apg
sba,CTCP Sông Ba,30.60,0.30,"9,500","15,455","60,488,261","1,833",https://www.cophieu68.vn/chart/chart.php?id=sba
hqc,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân,3.13,0.01,"1,756,200","4,428,506","576,600,000","1,799",https://www.cophieu68.vn/chart/chart.php?id=hqc
dcl,CTCP Dược phẩm Cửu Long,25.50,1.25,"713,700","336,089","73,041,030","1,771",https://www.cophieu68.vn/chart/chart.php?id=dcl
aph,CTCP Tập đoàn An Phát Holdings,7.24,-0.01,"390,900","1,469,448","243,884,268","1,768",https://www.cophieu68.vn/chart/chart.php?id=aph
lhg,CTCP Long Hậu,35.50,0.30,"54,900","201,872","49,997,516","1,759",https://www.cophieu68.vn/chart/chart.php?id=lhg
hax,CTCP Dịch vụ Ô tô Hàng Xanh,16.55,0.20,"499,500","892,043","107,439,681","1,757",https://www.cophieu68.vn/chart/chart.php?id=hax
pac,CTCP Pin Ắc quy Miền Nam,37.85,0.65,"586,300","137,104","46,475,609","1,729",https://www.cophieu68.vn/chart/chart.php?id=pac
csm,CTCP Công nghiệp Cao su Miền Nam,15.80,-0.30,"1,033,300","531,515","103,625,925","1,668",https://www.cophieu68.vn/chart/chart.php?id=csm
asg,Công ty Cổ phần Tập đoàn ASG,18.10,-0.10,"9,200","2,011","90,784,669","1,652",https://www.cophieu68.vn/chart/chart.php?id=asg
ctf,CTCP City Auto,19.20,0.90,"252,000","158,387","95,654,215","1,636",https://www.cophieu68.vn/chart/chart.php?id=ctf
acc,CTCP Đầu tư và Xây dựng Bình Dương ACC,14.60,0,"63,100","80,830","104,999,993","1,533",https://www.cophieu68.vn/chart/chart.php?id=acc
s4a,CTCP Thủy điện Sê San 4A,36,0,"4,100","1,068","42,200,000","1,519",https://www.cophieu68.vn/chart/chart.php?id=s4a
tcd,CTCP Đầu tư Phát triển Công nghiệp và Vận tải,4.69,0.19,"4,329,200","1,210,237","335,820,641","1,511",https://www.cophieu68.vn/chart/chart.php?id=tcd
opc,CTCP Dược phẩm OPC,23.50,0,"4,100","4,880","64,050,892","1,505",https://www.cophieu68.vn/chart/chart.php?id=opc
nsc,CTCP Tập đoàn Giống cây trồng Việt Nam,83.20,0.80,"4,600","4,447","17,586,988","1,449",https://www.cophieu68.vn/chart/chart.php?id=nsc
svc,CTCP Dịch vụ Tổng hợp Sài Gòn,21.10,0,0,"1,668","66,610,498","1,405",https://www.cophieu68.vn/chart/chart.php?id=svc
fit,CTCP Tập đoàn F.I.T,4.07,0.01,"717,300","853,632","339,933,034","1,380",https://www.cophieu68.vn/chart/chart.php?id=fit
tip,CTCP Phát triển Khu Công nghiệp Tín Nghĩa,22,1,"490,200","393,007","65,007,857","1,365",https://www.cophieu68.vn/chart/chart.php?id=tip
thg,CTCP Đầu tư và Xây dựng Tiền Giang,53.30,0.90,"75,700","29,457","25,941,887","1,359",https://www.cophieu68.vn/chart/chart.php?id=thg
ogc,CTCP Tập đoàn Đại Dương,4.50,-0.01,"395,100","306,934","300,000,000","1,353",https://www.cophieu68.vn/chart/chart.php?id=ogc
clc,CTCP Cát Lợi,50.50,-1.10,"6,900","7,228","26,207,583","1,352",https://www.cophieu68.vn/chart/chart.php?id=clc
cti,CTCP Đầu tư Phát triển Cường Thuận IDICO,21.15,-0.05,"1,164,800","607,980","62,999,997","1,336",https://www.cophieu68.vn/chart/chart.php?id=cti
evg,CTCP Tập đoàn EverLand,6.13,-0.07,"1,317,100","2,094,518","215,249,836","1,335",https://www.cophieu68.vn/chart/chart.php?id=evg
hpx,CTCP Đầu tư Hải Phát,4.42,0.04,"963,200","2,848,867","304,168,581","1,332",https://www.cophieu68.vn/chart/chart.php?id=hpx
tdc,CTCP Kinh doanh và Phát triển Bình Dương,12.65,-0.05,"1,491,500","622,462","100,000,000","1,270",https://www.cophieu68.vn/chart/chart.php?id=tdc
tcl,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,41.70,0.40,"245,000","55,517","30,158,436","1,246",https://www.cophieu68.vn/chart/chart.php?id=tcl
vto,CTCP Vận tải Xăng dầu Vitaco,15.55,0.05,"474,500","655,598","79,866,666","1,238",https://www.cophieu68.vn/chart/chart.php?id=vto
ttf,CTCP Tập đoàn Kỹ nghệ gỗ Trường Thành,3.17,0.03,"1,033,000","1,271,570","393,548,302","1,236",https://www.cophieu68.vn/chart/chart.php?id=ttf
cll,CTCP Cảng Cát Lái,36,-0.05,"9,500","5,863","34,000,000","1,226",https://www.cophieu68.vn/chart/chart.php?id=cll
lbm,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng,30.65,0.25,"112,700","35,944","39,657,500","1,195",https://www.cophieu68.vn/chart/chart.php?id=lbm
smb,CTCP Bia Sài Gòn - Miền Trung,40.40,0.40,"8,000","17,500","29,846,648","1,194",https://www.cophieu68.vn/chart/chart.php?id=smb
hrc,CTCP Cao su Hòa Bình,39,0,0,"10,012","30,206,616","1,178",https://www.cophieu68.vn/chart/chart.php?id=hrc
gil,CTCP Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh,16.60,0.45,"613,900","664,557","101,672,690","1,131",https://www.cophieu68.vn/chart/chart.php?id=gil
tix,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,36.60,-2.50,400,"1,008","29,246,000","1,114",https://www.cophieu68.vn/chart/chart.php?id=tix
vpg,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát,12.95,0.40,"778,500","595,368","88,415,751","1,110",https://www.cophieu68.vn/chart/chart.php?id=vpg
cng,CTCP CNG Việt Nam,31.80,0.70,"224,600","336,997","35,099,625","1,092",https://www.cophieu68.vn/chart/chart.php?id=cng
nha,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,24.95,0.25,"487,800","848,932","44,174,520","1,091",https://www.cophieu68.vn/chart/chart.php?id=nha
naf,CTCP Nafoods Group,19.70,0.15,"475,300","228,643","55,620,567","1,087",https://www.cophieu68.vn/chart/chart.php?id=naf
szl,CTCP Sonadezi Long Thành,44.20,1.70,"39,400","6,567","27,305,740","1,084",https://www.cophieu68.vn/chart/chart.php?id=szl
d2d,CTCP Phát triển Đô thị Công nghiệp số 2,35.95,0.25,"105,400","71,253","30,259,742","1,079",https://www.cophieu68.vn/chart/chart.php?id=d2d
tte,CTCP Đầu tư Năng lượng Trường Thịnh,37.85,0,0,395,"28,490,400","1,078",https://www.cophieu68.vn/chart/chart.php?id=tte
pgc,Tổng Công ty Gas Petrolimex - CTCP,15.80,0.05,"65,300","40,153","64,985,408","1,024",https://www.cophieu68.vn/chart/chart.php?id=pgc
sjd,CTCP Thủy điện Cần Đơn,14.50,0,"150,200","148,406","68,998,620","1,000",https://www.cophieu68.vn/chart/chart.php?id=sjd
vip,CTCP Vận tải Xăng dầu Vipco,14.10,-0.20,"928,200","484,764","68,470,941",979,https://www.cophieu68.vn/chart/chart.php?id=vip
bbc,CTCP Bibica,51.50,0,0,348,"18,703,097",961,https://www.cophieu68.vn/chart/chart.php?id=bbc
itc,CTCP Đầu tư và Kinh doanh Nhà,9.99,0.07,"163,900","502,213","95,935,049",947,https://www.cophieu68.vn/chart/chart.php?id=itc
tvb,CTCP Chứng khoán Trí Việt,8.17,-0.20,"27,000","347,970","112,097,019",938,https://www.cophieu68.vn/chart/chart.php?id=tvb
nhh,CTCP Nhựa Hà Nội,12.85,0,"30,200","438,122","72,880,000",937,https://www.cophieu68.vn/chart/chart.php?id=nhh
ilb,CTCP ICD Tân Cảng - Long Bình,37.95,0.15,"7,900","6,967","24,502,245",926,https://www.cophieu68.vn/chart/chart.php?id=ilb
htn,CTCP Hưng Thịnh Incons,9.91,-0.19,"953,500","711,481","89,116,411",900,https://www.cophieu68.vn/chart/chart.php?id=htn
lss,CTCP Mía Đường Lam Sơn,11,0,"591,100","623,549","85,744,505",881,https://www.cophieu68.vn/chart/chart.php?id=lss
cvt,CTCP CMC,24.30,1.10,100,"1,911","36,690,887",851,https://www.cophieu68.vn/chart/chart.php?id=cvt
gsp,CTCP Vận tải Sản Phẩm Khí Quốc tế,13.10,0.05,"172,700","294,706","61,379,265",801,https://www.cophieu68.vn/chart/chart.php?id=gsp
cmx,CTCP Camimex Group,7.86,0.08,"257,400","565,220","101,898,990",793,https://www.cophieu68.vn/chart/chart.php?id=cmx
teg,CTCP Năng lượng và Bất động sản Trường Thành,6.52,0.04,"283,500","102,641","120,806,562",783,https://www.cophieu68.vn/chart/chart.php?id=teg
vng,CTCP Du lịch Thành Thành Công,7.99,-0.01,"3,000","11,300","97,276,608",778,https://www.cophieu68.vn/chart/chart.php?id=vng
skg,CTCP Tàu cao tốc Superdong - Kiên Giang,11.70,0.10,"151,200","402,036","66,497,697",771,https://www.cophieu68.vn/chart/chart.php?id=skg
sfi,CTCP Đại lý Vận tải SAFI,30.65,0,"15,100","6,789","24,887,046",763,https://www.cophieu68.vn/chart/chart.php?id=sfi
vdp,CTCP Dược phẩm Trung ương VIDIPHA,34.05,-0.05,"1,900","8,196","22,083,392",753,https://www.cophieu68.vn/chart/chart.php?id=vdp
nvt,CTCP Bất động sản Du lịch Ninh Vân Bay,8.09,0,0,"5,846","90,500,000",732,https://www.cophieu68.vn/chart/chart.php?id=nvt
ads,CTCP Damsan,9.65,0.11,"211,700","419,534","76,394,727",729,https://www.cophieu68.vn/chart/chart.php?id=ads
hhp,CTCP Giấy Hoàng Hà Hải Phòng,8.34,0,"98,200","218,255","86,554,343",722,https://www.cophieu68.vn/chart/chart.php?id=hhp
svi,CTCP Bao bì Biên Hòa,56,0,0,70,"12,808,137",716,https://www.cophieu68.vn/chart/chart.php?id=svi
vns,CTCP Ánh Dương Việt Nam,10.50,0,"1,500","55,587","67,859,192",713,https://www.cophieu68.vn/chart/chart.php?id=vns
btp,CTCP Nhiệt điện Bà Rịa,12.30,0.35,"46,800","51,693","60,485,600",708,https://www.cophieu68.vn/chart/chart.php?id=btp
src,CTCP Cao su Sao Vàng,25.80,1.40,"3,200","2,472","28,065,765",685,https://www.cophieu68.vn/chart/chart.php?id=src
tnc,CTCP Cao su Thống Nhất,34.40,-1.05,100,"1,043","19,250,000",682,https://www.cophieu68.vn/chart/chart.php?id=tnc
khp,CTCP Điện lực Khánh Hòa,11.40,0,"326,600","218,101","60,378,616",654,https://www.cophieu68.vn/chart/chart.php?id=khp
fdc,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,16.90,0,"1,000","5,952","38,629,988",653,https://www.cophieu68.vn/chart/chart.php?id=fdc
vrc,CTCP Bất động sản và Đầu tư VRC,13.30,0.30,"36,300","56,626","50,000,000",650,https://www.cophieu68.vn/chart/chart.php?id=vrc
dc4,CTCP Xây dựng DIC Holdings,11.15,0,"325,000","343,010","86,623,901",644,https://www.cophieu68.vn/chart/chart.php?id=dc4
nnc,CTCP Đá Núi Nhỏ,28,-0.80,"85,200","20,634","21,920,000",631,https://www.cophieu68.vn/chart/chart.php?id=nnc
dsn,CTCP Công viên nước Đầm Sen,52.30,0.20,"11,400","11,441","12,083,009",630,https://www.cophieu68.vn/chart/chart.php?id=dsn
vph,CTCP Vạn Phát Hưng,6.60,0,"128,300","255,673","95,357,800",629,https://www.cophieu68.vn/chart/chart.php?id=vph
dha,CTCP Hóa An,40.90,0.30,"52,000","67,289","15,061,213",609,https://www.cophieu68.vn/chart/chart.php?id=dha
dlg,CTCP Tập đoàn Đức Long Gia Lai,2,0.03,"1,518,100","1,305,487","299,309,720",590,https://www.cophieu68.vn/chart/chart.php?id=dlg
acl,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,11.60,0,"6,800","24,617","50,159,019",582,https://www.cophieu68.vn/chart/chart.php?id=acl
tn1,CTCP Thương mại Dịch vụ TNS Holdings,10.35,0,0,"2,845","54,632,348",565,https://www.cophieu68.vn/chart/chart.php?id=tn1
dtl,CTCP Đại Thiên Lộc,9.95,-0.05,800,"4,807","58,207,764",550,https://www.cophieu68.vn/chart/chart.php?id=dtl
drl,CTCP Thủy điện - Điện Lực 3,57.70,0,"7,400","4,703","9,500,000",548,https://www.cophieu68.vn/chart/chart.php?id=drl
vaf,CTCP Phân lân Nung chảy Văn Điển,14.50,0,0,"1,836","37,665,348",546,https://www.cophieu68.vn/chart/chart.php?id=vaf
gdt,CTCP Chế biến Gỗ Đức Thành,24.75,0.35,"58,100","53,655","24,059,851",534,https://www.cophieu68.vn/chart/chart.php?id=gdt
clw,CTCP Cấp nước Chợ Lớn,40.50,0,0,"1,322","13,000,000",527,https://www.cophieu68.vn/chart/chart.php?id=clw
sfg,CTCP Phân Bón Miền Nam,11.50,0.60,"37,300","17,239","47,897,333",522,https://www.cophieu68.vn/chart/chart.php?id=sfg
jvc,CTCP Thiết bị Y tế Việt Nhật,4.61,0.01,"533,600","415,859","112,500,171",518,https://www.cophieu68.vn/chart/chart.php?id=jvc
tmt,CTCP Ô tô TMT,13.85,-0.25,"64,700","29,141","36,877,980",514,https://www.cophieu68.vn/chart/chart.php?id=tmt
tsc,CTCP Vật tư Kỹ thuật nông nghiệp Cần Thơ,2.59,-0.01,"380,700","466,237","196,858,925",512,https://www.cophieu68.vn/chart/chart.php?id=tsc
btt,CTCP Thương mại Dịch vụ Bến Thành,37.85,0,0,239,"13,500,000",511,https://www.cophieu68.vn/chart/chart.php?id=btt
hap,CTCP Tập đoàn Hapaco,4.62,0.02,"140,300","119,674","110,942,302",510,https://www.cophieu68.vn/chart/chart.php?id=hap
dat,CTCP Đầu tư du lịch và Phát triển Thủy sản,7.33,0,"1,200",994,"69,228,341",507,https://www.cophieu68.vn/chart/chart.php?id=dat
tya,CTCP Dây và Cáp Điện Taya Việt Nam,16.50,0.05,"13,000","8,702","30,682,010",505,https://www.cophieu68.vn/chart/chart.php?id=tya
sav,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex,20.50,-0.05,"5,200","138,745","24,794,195",501,https://www.cophieu68.vn/chart/chart.php?id=sav
ssc,CTCP Giống cây trồng Miền Nam,33.80,0,0,417,"14,992,367",500,https://www.cophieu68.vn/chart/chart.php?id=ssc
tlh,CTCP Tập đoàn Thép Tiến Lên,4.41,0.10,"200,200","894,382","112,320,017",484,https://www.cophieu68.vn/chart/chart.php?id=tlh
ccl,CTCP Đầu Tư và Phát triển Đô Thị Dầu khí Cửu Long,8.08,-0.03,"193,100","598,402","59,581,418",483,https://www.cophieu68.vn/chart/chart.php?id=ccl
ldg,CTCP Đầu tư LDG,1.84,0.01,"686,400","2,050,965","256,972,585",470,https://www.cophieu68.vn/chart/chart.php?id=ldg
hub,CTCP Xây lắp Thừa Thiên Huế,17.70,0.10,"25,200","49,200","26,298,437",463,https://www.cophieu68.vn/chart/chart.php?id=hub
tld,CTCP Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,5.92,-0.02,"114,600","158,878","77,741,356",462,https://www.cophieu68.vn/chart/chart.php?id=tld
mcp,CTCP In và Bao bì Mỹ Châu,31.30,0.70,"7,200","6,476","16,558,277",460,https://www.cophieu68.vn/chart/chart.php?id=mcp
tdw,CTCP Cấp nước Thủ Đức,53.60,0,0,511,"8,500,000",456,https://www.cophieu68.vn/chart/chart.php?id=tdw
ict,CTCP Viễn thông - Tin học Bưu điện,13.75,-0.05,"28,200","84,705","32,185,000",444,https://www.cophieu68.vn/chart/chart.php?id=ict
eve,CTCP Everpia,10.75,0.05,"84,400","74,736","41,979,773",444,https://www.cophieu68.vn/chart/chart.php?id=eve
hti,CTCP Đầu tư Phát triển Hạ tầng IDICO,17.60,0,"9,500","17,730","24,949,200",439,https://www.cophieu68.vn/chart/chart.php?id=hti
fir,CTCP Địa ốc First Real,6.90,0.07,"168,600","614,192","64,245,281",439,https://www.cophieu68.vn/chart/chart.php?id=fir
smc,CTCP Đầu tư Thương mại SMC,5.94,0,"446,400","1,087,191","73,671,869",438,https://www.cophieu68.vn/chart/chart.php?id=smc
cdc,CTCP Chương Dương,19.60,0.10,"41,300","373,193","22,006,716",429,https://www.cophieu68.vn/chart/chart.php?id=cdc
cci,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,24.85,0.25,"5,100","3,409","17,541,105",427,https://www.cophieu68.vn/chart/chart.php?id=cci
crc,CTCP Create Capital Việt Nam,6.94,0.06,"330,200","157,610","60,000,000",413,https://www.cophieu68.vn/chart/chart.php?id=crc
uic,CTCP Đầu tư Phát triển Nhà và Đô thị IDICO,49.10,-1.10,"45,000","2,706","8,000,000",402,https://www.cophieu68.vn/chart/chart.php?id=uic
pmg,CTCP Đầu tư và Sản xuất Petro Miền Trung,8.38,0,0,436,"46,336,278",388,https://www.cophieu68.vn/chart/chart.php?id=pmg
abt,CTCP Xuất nhập khẩu Thủy sản Bến Tre,41.80,0,"27,000","3,421","11,838,307",388,https://www.cophieu68.vn/chart/chart.php?id=abt
abs,CTCP Dịch vụ Nông nghiệp Bình Thuận,4.80,0.04,"359,600","352,677","80,000,000",381,https://www.cophieu68.vn/chart/chart.php?id=abs
hvh,CTCP Đầu tư và Công nghệ HVC,9.23,-0.06,"294,100","573,305","40,644,830",378,https://www.cophieu68.vn/chart/chart.php?id=hvh
com,CTCP Vật tư Xăng Dầu,28,0,0,555,"13,752,368",375,https://www.cophieu68.vn/chart/chart.php?id=com
plp,CTCP Sản xuất và Công nghệ Nhựa Pha Lê,5.06,-0.04,"31,600","53,141","70,000,000",357,https://www.cophieu68.vn/chart/chart.php?id=plp
psh,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu,2.82,0.02,"230,200","1,004,145","126,196,780",353,https://www.cophieu68.vn/chart/chart.php?id=psh
htl,CTCP Kỹ thuật và Ôtô Trường Long,29.40,0,"5,600","10,669","12,000,000",353,https://www.cophieu68.vn/chart/chart.php?id=htl
bce,CTCP Xây dựng và Giao thông Bình Dương,9.96,0.01,"115,700","83,753","35,000,000",348,https://www.cophieu68.vn/chart/chart.php?id=bce
tvt,Tổng Công ty Việt Thắng - CTCP,16.80,0.30,"21,300","5,766","21,000,000",347,https://www.cophieu68.vn/chart/chart.php?id=tvt
itd,CTCP Công nghệ Tiên Phong,13.90,-0.15,"100,000","146,672","24,461,403",344,https://www.cophieu68.vn/chart/chart.php?id=itd
har,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,3.35,0,"119,700","287,384","101,350,100",340,https://www.cophieu68.vn/chart/chart.php?id=har
bmc,CTCP Khoáng sản Bình Định,29.15,1.90,"898,500","92,932","12,392,630",338,https://www.cophieu68.vn/chart/chart.php?id=bmc
hii,CTCP An Tiến Industries,4.58,0.01,"415,900","121,090","73,663,016",337,https://www.cophieu68.vn/chart/chart.php?id=hii
hmc,CTCP Kim khí Thành phố Hồ Chí Minh - Vnsteel,12.05,0.05,"22,200","28,274","27,299,999",328,https://www.cophieu68.vn/chart/chart.php?id=hmc
laf,CTCP Chế biến hàng Xuất khẩu Long An,21.05,0.30,"3,700","11,080","15,228,019",316,https://www.cophieu68.vn/chart/chart.php?id=laf
tdh,CTCP Phát triển Nhà Thủ Đức,2.75,-0.01,"264,200","192,126","112,472,707",310,https://www.cophieu68.vn/chart/chart.php?id=tdh
dqc,CTCP Bóng đèn Điện Quang,11.10,0,"9,800","22,690","34,359,416",306,https://www.cophieu68.vn/chart/chart.php?id=dqc
dah,CTCP Tập đoàn Khách sạn Đông Á,3.58,0.01,"131,100","146,991","84,200,000",301,https://www.cophieu68.vn/chart/chart.php?id=dah
srf,CTCP Kỹ nghệ Lạnh,8.74,0.32,"6,000","24,566","35,566,780",299,https://www.cophieu68.vn/chart/chart.php?id=srf
sc5,CTCP Xây dựng Số 5,21.15,1.25,100,"1,364","14,984,543",298,https://www.cophieu68.vn/chart/chart.php?id=sc5
hcd,CTCP Đầu tư Sản xuất và Thương mại HCD,8.06,0,"51,300","455,289","36,958,816",298,https://www.cophieu68.vn/chart/chart.php?id=hcd
vne,Tổng Công ty cổ phần Xây dựng Điện Việt Nam,3.30,-0.03,"79,100","147,423","88,834,033",290,https://www.cophieu68.vn/chart/chart.php?id=vne
phc,CTCP Xây dựng Phục Hưng Holdings,5.64,-0.06,"34,200","92,048","50,602,094",288,https://www.cophieu68.vn/chart/chart.php?id=phc
mhc,CTCP MHC,6.80,-0.15,"75,300","101,162","43,477,186",288,https://www.cophieu68.vn/chart/chart.php?id=mhc
sma,CTCP Thiết bị Phụ tùng Sài Gòn,13,-0.95,200,"2,564","20,352,836",284,https://www.cophieu68.vn/chart/chart.php?id=sma
ric,CTCP Quốc tế Hoàng Gia,3.90,0.40,100,"3,294","79,714,190",279,https://www.cophieu68.vn/chart/chart.php?id=ric
vnl,CTCP Logistics Vinalink,19.35,0.05,"69,000","19,585","14,140,487",273,https://www.cophieu68.vn/chart/chart.php?id=vnl
cig,CTCP COMA 18,8.54,-0.04,"261,200","262,878","31,539,947",271,https://www.cophieu68.vn/chart/chart.php?id=cig
c32,CTCP CIC39,18.15,0.15,"5,700","20,064","15,030,145",271,https://www.cophieu68.vn/chart/chart.php?id=c32
sbv,CTCP Siam Brothers Việt Nam,9.66,-0.14,"14,700","3,526","27,366,476",268,https://www.cophieu68.vn/chart/chart.php?id=sbv
tnt,CTCP Tài Nguyên,5.25,0.05,"314,500","314,415","51,000,000",265,https://www.cophieu68.vn/chart/chart.php?id=tnt
ptl,CTCP Đầu tư Hạ tầng và Đô thị Dầu khí,2.65,0.01,"33,700","100,666","100,000,000",264,https://www.cophieu68.vn/chart/chart.php?id=ptl
pjt,CTCP Vận tải Xăng dầu đường Thủy Petrolimex,10.45,-0.05,400,"5,747","24,882,785",261,https://www.cophieu68.vn/chart/chart.php?id=pjt
vmd,CTCP Y Dược phẩm Vimedimex,16.80,0.05,200,"7,480","15,440,268",259,https://www.cophieu68.vn/chart/chart.php?id=vmd
dhm,CTCP Thương mại và Khai thác Khoáng sản Dương Hiếu,7.49,-0.50,"33,100","46,355","34,535,798",251,https://www.cophieu68.vn/chart/chart.php?id=dhm
c47,CTCP Xây dựng 47,6.85,-0.04,"65,700","67,451","36,342,269",250,https://www.cophieu68.vn/chart/chart.php?id=c47
sfc,CTCP Nhiên liệu Sài Gòn,22.95,1.15,"9,800","2,071","11,234,819",244,https://www.cophieu68.vn/chart/chart.php?id=sfc
vsi,CTCP Đầu tư và Xây dựng Cấp thoát nước,18.20,0,0,"1,636","13,200,000",240,https://www.cophieu68.vn/chart/chart.php?id=vsi
aat,Công ty Cổ phần Tiên Sơn Thanh Hóa,3.40,0.03,"48,900","115,680","70,819,103",239,https://www.cophieu68.vn/chart/chart.php?id=aat
drh,CTCP DRH Holdings,1.90,0,0,"537,854","124,353,866",236,https://www.cophieu68.vn/chart/chart.php?id=drh
dbt,CTCP Dược phẩm Bến Tre,12.40,-0.05,"7,700","12,761","18,610,650",232,https://www.cophieu68.vn/chart/chart.php?id=dbt
tct,CTCP Cáp treo Núi Bà Tây Ninh,18.30,0.25,"6,100","10,278","12,788,000",231,https://www.cophieu68.vn/chart/chart.php?id=tct
bkg,Công ty Cổ phần Đầu tư BKG Việt Nam,3.24,0.04,"145,400","336,600","71,609,020",229,https://www.cophieu68.vn/chart/chart.php?id=bkg
adg,CTCP Clever Group,10.80,0.20,"3,200","4,069","21,380,521",227,https://www.cophieu68.vn/chart/chart.php?id=adg
hid,CTCP Halcom Việt Nam,2.88,-0.02,"50,300","126,655","76,765,032",223,https://www.cophieu68.vn/chart/chart.php?id=hid
tco,CTCP Vận tải Đa phương thức Duyên Hải,11.80,0.20,"190,300","166,940","31,320,622",217,https://www.cophieu68.vn/chart/chart.php?id=tco
vps,CTCP Thuốc sát trùng Việt Nam (VIPESCO),9.38,0.59,"9,500","2,733","24,460,792",215,https://www.cophieu68.vn/chart/chart.php?id=vps
vid,CTCP Đầu tư Phát triển Thương mại Viễn Đông,5.20,0,0,"13,230","40,836,069",212,https://www.cophieu68.vn/chart/chart.php?id=vid
svt,CTCP Công nghệ Sài Gòn Viễn Đông,12.25,0.10,"4,000","12,581","17,310,978",210,https://www.cophieu68.vn/chart/chart.php?id=svt
kmr,CTCP Mirae,3.42,0.08,"109,800","35,923","56,881,443",190,https://www.cophieu68.vn/chart/chart.php?id=kmr
l10,CTCP Lilama 10,19.05,0,0,243,"9,790,000",185,https://www.cophieu68.vn/chart/chart.php?id=l10
fcm,CTCP Khoáng sản FECON,4.33,0.28,"366,100","56,276","46,227,468",183,https://www.cophieu68.vn/chart/chart.php?id=fcm
st8,CTCP Siêu Thanh,7.09,-0.04,"303,800","566,662","25,659,902",183,https://www.cophieu68.vn/chart/chart.php?id=st8
pxs,CTCP Kết cấu Kim loại và Lắp máy Dầu khí,3.10,0.10,"125,500","106,321","60,000,000",180,https://www.cophieu68.vn/chart/chart.php?id=pxs
pnc,CTCP Văn hóa Phương Nam,16.15,-0.80,600,"1,821","10,799,351",179,https://www.cophieu68.vn/chart/chart.php?id=pnc
cmv,CTCP Thương nghiệp Cà Mau,9.60,-0.10,100,"2,146","18,155,868",176,https://www.cophieu68.vn/chart/chart.php?id=cmv
brc,CTCP Cao su Bến Thành,14.25,0.05,"11,500","15,251","12,374,997",176,https://www.cophieu68.vn/chart/chart.php?id=brc
vca,CTCP Thép VICASA - VNSTEEL,11,-0.10,"13,400","13,279","15,187,322",169,https://www.cophieu68.vn/chart/chart.php?id=vca
tpc,CTCP Nhựa Tân Đại Hưng,7.90,0,300,"8,695","24,430,596",168,https://www.cophieu68.vn/chart/chart.php?id=tpc
spm,CTCP SPM,12,0,700,"1,414","14,000,000",168,https://www.cophieu68.vn/chart/chart.php?id=spm
lgl,CTCP Đầu tư và Phát triển Đô thị Long Giang,3.17,0.08,"201,200","77,733","51,497,100",159,https://www.cophieu68.vn/chart/chart.php?id=lgl
hsl,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,4.10,0,"26,100","114,030","38,567,363",158,https://www.cophieu68.vn/chart/chart.php?id=hsl
dtt,CTCP Kỹ nghệ Đô Thành,19,0,0,276,"8,151,820",155,https://www.cophieu68.vn/chart/chart.php?id=dtt
asp,CTCP Tập đoàn Dầu khí An Pha,4.12,0.02,"32,800","51,480","37,339,929",153,https://www.cophieu68.vn/chart/chart.php?id=asp
lec,CTCP Bất động sản Điện lực Miền Trung,5.77,0,0,484,"26,100,000",151,https://www.cophieu68.vn/chart/chart.php?id=lec
ybm,CTCP Khoáng sản Công nghiệp Yên Bái,11.20,0.70,"7,100","2,757","14,299,880",150,https://www.cophieu68.vn/chart/chart.php?id=ybm
ptc,CTCP Đầu tư và Xây dựng Bưu điện,4.61,-0.03,"18,400","28,211","32,307,324",150,https://www.cophieu68.vn/chart/chart.php?id=ptc
mdg,CTCP Miền Đông,14,0,0,"8,039","10,889,031",148,https://www.cophieu68.vn/chart/chart.php?id=mdg
nav,CTCP Nam Việt,18.20,0.15,"1,700","2,265","8,000,000",144,https://www.cophieu68.vn/chart/chart.php?id=nav
tcr,CTCP Công nghiệp Gốm sứ Taicera,3.15,0.05,"10,300","1,816","45,425,142",141,https://www.cophieu68.vn/chart/chart.php?id=tcr
