symbol,name,price,price_change,volume,market_cap,total_value,percentage_change,chart_link
frt,CTCP Bán lẻ Kỹ thuật số FPT,190.50,0.50,"274,800","592,455","136,242,389","25,886",https://www.cophieu68.vn/chart/chart.php?id=frt
ocb,Ngân hàng Thương mại cổ phần Phương Đông,11.40,0.15,"1,993,300","2,726,888","2,465,789,152","23,117",https://www.cophieu68.vn/chart/chart.php?id=ocb
vgc,Tổng Công ty Viglacera - CTCP,51.20,0.50,"900,700","1,030,613","448,350,000","22,731",https://www.cophieu68.vn/chart/chart.php?id=vgc
msb,Ngân hàng Thương mại cổ phần Hàng hải Việt Nam,11.40,0.05,"6,692,300","7,381,068","2,600,000,000","22,700",https://www.cophieu68.vn/chart/chart.php?id=msb
kbc,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,29.55,0.75,"8,111,600","5,526,970","767,604,759","22,107",https://www.cophieu68.vn/chart/chart.php?id=kbc
hcm,CTCP Chứng khoán Thành phố Hồ Chí Minh,29.30,0.30,"14,030,800","8,139,665","754,397,880","21,853",https://www.cophieu68.vn/chart/chart.php?id=hcm
vnd,CTCP Chứng khoán VNDirect,12.75,0.10,"11,913,100","14,454,793","1,522,299,908","19,257",https://www.cophieu68.vn/chart/chart.php?id=vnd
dcm,CTCP Phân bón Dầu khí Cà Mau,36,-0.30,"2,026,400","3,901,587","529,400,000","19,217",https://www.cophieu68.vn/chart/chart.php?id=dcm
gmd,CTCP Gemadept,61.70,0,"809,000","1,237,200","413,982,609","19,157",https://www.cophieu68.vn/chart/chart.php?id=gmd
gex,Tổng Công ty cổ phần Thiết bị Điện Việt Nam,22,-0.20,"6,374,800","10,475,094","859,429,793","18,903",https://www.cophieu68.vn/chart/chart.php?id=gex
kdc,CTCP Tập đoàn KIDO,58.80,0,"295,400","699,225","314,220,585","18,476",https://www.cophieu68.vn/chart/chart.php?id=kdc
nvl,CTCP Tập đoàn Đầu tư Địa ốc No Va,9.25,0.23,"5,904,100","15,405,977","1,950,104,538","17,590",https://www.cophieu68.vn/chart/chart.php?id=nvl
vpi,CTCP Đầu tư Văn Phú - INVEST,58,0.60,"2,141,100","1,263,828","320,049,577","16,669",https://www.cophieu68.vn/chart/chart.php?id=vpi
pdr,CTCP Phát triển Bất động sản Phát Đạt,19.10,0.15,"4,471,600","8,624,479","873,140,083","16,546",https://www.cophieu68.vn/chart/chart.php?id=pdr
vhc,CTCP Vĩnh Hoàn,70.50,0.50,"771,800","810,902","224,453,159","15,712",https://www.cophieu68.vn/chart/chart.php?id=vhc
vci,CTCP Chứng khoán Bản Việt,35.35,0.45,"12,888,400","5,781,577","718,099,480","15,422",https://www.cophieu68.vn/chart/chart.php?id=vci
dpm,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,36.15,-0.30,"4,345,900","2,891,616","388,954,320","14,088",https://www.cophieu68.vn/chart/chart.php?id=dpm
hag,CTCP Hoàng Anh Gia Lai,12.40,0,"2,942,300","9,347,417","1,057,467,947","13,113",https://www.cophieu68.vn/chart/chart.php?id=hag
dhg,CTCP Dược Hậu Giang,100.70,0.40,"34,400","25,191","130,735,941","13,112",https://www.cophieu68.vn/chart/chart.php?id=dhg
pvd,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,24.25,0.75,"11,694,600","4,301,211","556,296,006","13,073",https://www.cophieu68.vn/chart/chart.php?id=pvd
fts,CTCP Chứng khoán FPT,41.20,0.30,"2,137,700","2,067,919","305,919,366","12,512",https://www.cophieu68.vn/chart/chart.php?id=fts
nlg,CTCP Đầu tư Nam Long,32.20,-0.15,"2,275,100","2,256,707","384,777,471","12,448",https://www.cophieu68.vn/chart/chart.php?id=nlg
vcg,Tổng Công ty cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,21.50,-0.25,"8,709,800","4,761,072","598,593,458","12,232",https://www.cophieu68.vn/chart/chart.php?id=vcg
lgc,CTCP Đầu tư Cầu đường CII,63.60,0,0,236,"192,436,555","12,212",https://www.cophieu68.vn/chart/chart.php?id=lgc
vsh,CTCP Thủy điện Vĩnh Sơn - Sông Hinh,50.60,0.10,"27,800","15,820","232,241,246","11,526",https://www.cophieu68.vn/chart/chart.php?id=vsh
dig,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,18.45,-0.15,"6,359,100","13,595,298","609,851,995","11,343",https://www.cophieu68.vn/chart/chart.php?id=dig
sjs,CTCP Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,92.40,-0.50,"30,800","85,649","113,897,480","10,492",https://www.cophieu68.vn/chart/chart.php?id=sjs
tch,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy,15.45,0.05,"4,346,500","8,909,885","668,215,843","10,291",https://www.cophieu68.vn/chart/chart.php?id=tch
hsg,CTCP Tập đoàn Hoa Sen,17,0.35,"5,277,900","9,538,462","620,982,309","10,256",https://www.cophieu68.vn/chart/chart.php?id=hsg
dxg,CTCP Tập đoàn Đất Xanh,14.55,0.15,"11,781,800","12,447,670","870,849,984","10,223",https://www.cophieu68.vn/chart/chart.php?id=dxg
