Ticker,Date,Broker,Suggestion,Price
bsi,05/12/2024,SADIF,Mua,57.94
bmp,24/01/2025,HSC,Giữ,134.30
bmp,19/11/2024,VND,Mua,140.00
bmp,30/08/2024,VND,Mua,120.00
bmp,20/05/2024,VND,Mua,126.00
ctd,03/01/2025,VND,Mua,78.90
ctd,11/10/2024,VND,Giữ,69.30
ctd,24/06/2024,VND,Giữ,80.20
pvt,23/01/2025,VDS,Mua,34.60
pvt,17/12/2024,VND,Mua,34.90
pvt,19/09/2024,VND,Mua,33.70
pvt,11/06/2024,VND,Giữ,32.40
pvt,21/03/2024,VND,Mua,33.10
hdg,16/01/2025,VDS,Mua,30.90
hdg,23/10/2024,VND,Mua,34.10
hdg,12/07/2024,VND,Giữ,35.70
hdg,01/03/2024,VND,Mua,33.70
dbc,04/02/2025,BSI,Mua,31.00
bhn,25/11/2024,SADIF,Bán,28.97
cmg,08/01/2025,SADIF,Bán,45.36
szc,10/10/2024,VND,Mua,42.90
szc,03/06/2024,VND,Giữ,42.70
pc1,21/01/2025,VND,Mua,27.10
pc1,08/10/2024,VND,Mua,35.30
pc1,17/06/2024,VND,Mua,34.70
scs,06/02/2025,HSC,Mua,85.00
scs,23/10/2024,VND,Giữ,85.00
scs,07/06/2024,VND,Giữ,95.10
scs,09/04/2024,VND,Mua,95.00
phr,06/02/2025,HSC,Mua,64.50
phr,19/09/2024,VND,Mua,64.30
phr,14/03/2024,VND,Giữ,61.20
baf,24/12/2024,VND,Mua,32.00
baf,17/10/2024,VND,Mua,27.50
baf,25/06/2024,VND,Mua,26.80
baf,18/03/2024,VND,Mua,33.10
hah,04/02/2025,SSI,Mua,56.60
hah,12/11/2024,VND,Mua,55.90
hah,24/06/2024,VND,Giữ,48.00
hah,14/03/2024,VND,Giữ,46.40
dgw,13/11/2024,VND,Giữ,48.60
dgw,14/06/2024,VND,Giữ,68.00
nt2,12/03/2024,VND,Giữ,27.10
dbd,13/01/2025,VDS,Bán,51.00
ijc,17/10/2024,BSI,Giữ,18.80
cts,28/01/2025,SADIF,Mua,51.80
csv,17/01/2025,SADIF,Mua,45.93
tlg,03/02/2025,HSC,Giữ,61.00
cii,02/04/2024,SADIF,Mua,30.65
bic,25/11/2024,SADIF,Bán,26.09
tcm,24/01/2025,HSC,Mua,58.60
tcm,30/09/2024,VND,Giữ,53.30
tcm,26/04/2024,VND,Giữ,42.30
ptb,22/01/2025,HSC,Mua,80.00
ptb,29/08/2024,VND,Mua,79.65
msh,02/01/2025,VDS,Giữ,54.20
msh,25/12/2024,VND,Giữ,54.10
msh,26/08/2024,VND,Giữ,53.40
dxs,05/02/2025,HSC,Mua,8.50
dxs,06/11/2024,VND,Giữ,5.90
ppc,02/01/2025,VDS,Giữ,11.50
agr,05/11/2024,SADIF,Mua,25.51
nkg,05/02/2025,HSC,Mua,17.53
nkg,17/01/2025,VND,Giữ,12.60
nkg,19/03/2024,VND,Mua,35.00
drc,24/01/2025,BSI,Giữ,29.00
aaa,19/11/2024,SADIF,Giữ,6.49
cre,05/02/2025,HSC,Mua,8.40
tra,31/12/2024,SSI,Giữ,85.00
fmc,23/01/2025,VDS,Mua,50.00
dmc,16/10/2024,SADIF,Mua,71.05
elc,02/01/2025,VDS,Bán,24.30
agg,18/03/2024,VCBS,Mua,23.01
fcn,31/10/2024,PSI,Mua,15.05
anv,03/02/2025,HSC,Mua,20.20
tnh,04/02/2025,HSC,Giữ,17.83
lcg,17/10/2024,BSI,Mua,14.00
idi,15/04/2024,FTS,Mua,12.17
apg,14/11/2024,SADIF,Bán,7.29
hax,06/02/2025,HSC,Mua,20.00
ctf,23/10/2024,SADIF,Mua,35.88
clc,02/01/2025,SADIF,Mua,61.38
cti,23/01/2025,SADIF,Mua,23.77
cll,03/04/2024,SADIF,Mua,51.70
cng,20/11/2024,FTS,Giữ,33.60
bbc,14/11/2024,SADIF,Giữ,52.93
cvt,30/10/2024,SADIF,Mua,32.42
cmx,15/04/2024,SADIF,Bán,4.25
ads,23/07/2024,SADIF,Giữ,7.30
